Stage 1 ,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
272 points,258 points,226 points,264 points,246 points,264 points,274 points,252 points,234 points,248 points,260 points,304 points,270 points,292 points,252 points,,,,,,
Jasper Philipsen,Mathieu Van Der Poel,Tim Merlier,Tadej Pogačar,Remco Evenepoel,Ben Healy,Tadej Pogačar,Jonathan Milan,Tim Merlier,Simon Yates,Jonas Abrahamsen,Tadej Pogačar,Tadej Pogačar,Thymen Arensman,Tim Wellens,,,,,,
Alpecin - Deceuninck,Alpecin - Deceuninck,Soudal Quick-Step,UAE Team Emirates - XRG,Soudal Quick-Step,EF Education - EasyPost,UAE Team Emirates - XRG,Lidl - Trek,Soudal Quick-Step,Team Visma | Lease a Bike,Uno-X Mobility,UAE Team Emirates - XRG,UAE Team Emirates - XRG,INEOS Grenadiers,UAE Team Emirates - XRG,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
226 points,219 points,212 points,216 points,234 points,206 points,212 points,188 points,204 points,218 points,212 points,243 points,213 points,255 points,216 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Biniam Girmay,Tadej Pogačar,Jonathan Milan,Mathieu Van Der Poel,Tadej Pogačar,Quinn Simmons,Jonas Vingegaard,Wout Van Aert,Jonathan Milan,Ben Healy,Mauro Schmid,Jonas Vingegaard,Jonas Vingegaard,Tadej Pogačar,Victor Campenaerts,,,,,,
Intermarché - Wanty,UAE Team Emirates - XRG,Lidl - Trek,Alpecin - Deceuninck,UAE Team Emirates - XRG,Lidl - Trek,Team Visma | Lease a Bike,Team Visma | Lease a Bike,Lidl - Trek,EF Education - EasyPost,Team Jayco AlUla,Team Visma | Lease a Bike,Team Visma | Lease a Bike,UAE Team Emirates - XRG,Team Visma | Lease a Bike,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
183 points,190 points,160 points,196 points,160 points,182 points,174 points,160 points,162 points,204 points,169 points,198 points,174 points,219 points,160 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Søren Wærenskjold,Jonas Vingegaard,Phil Bauhaus,Jonas Vingegaard,Edoardo Affini,Michael Storer,Oscar Onley,Kaden Groves,Arnaud De Lie,Thymen Arensman,Mathieu Van Der Poel,Florian Lipowitz,Primož Roglič,Jonas Vingegaard,Julian Alaphilippe,,,,,,
Uno-X Mobility,Team Visma | Lease a Bike,Bahrain - Victorious,Team Visma | Lease a Bike,Team Visma | Lease a Bike,Tudor Pro Cycling Team,Team Picnic PostNL,Alpecin - Deceuninck,Lotto,INEOS Grenadiers,Alpecin - Deceuninck,Red Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,Team Visma | Lease a Bike,Tudor Pro Cycling Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
170 points,148 points,144 points,154 points,143 points,164 points,147 points,140 points,140 points,163 points,144 points,168 points,159 points,171 points,156 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Anthony Turgis,Romain Grégoire,Søren Wærenskjold,Oscar Onley,Kévin Vauquelin,Eddie Dunbar,Felix Gall,Pascal Ackermann,Pavel Bittner,Ben O'Connor,Arnaud De Lie,Tobias Halland Johannessen,Florian Lipowitz,Felix Gall,Wout Van Aert,,,,,,
Team TotalEnergies,Groupama - FDJ,Uno-X Mobility,Team Picnic PostNL,Arkéa - B&B Hotels,Team Jayco AlUla,Decathlon AG2R La Mondiale Team,Israel - Premier Tech,Team Picnic PostNL,Team Jayco AlUla,Lotto,Uno-X Mobility,Red Bull - BORA - hansgrohe,Decathlon AG2R La Mondiale Team,Team Visma | Lease a Bike,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
144 points,120 points,122 points,137 points,140 points,154 points,147 points,120 points,124 points,140 points,130 points,145 points,121 points,153 points,120 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Matteo Trentin,Julian Alaphilippe,Biniam Girmay,João Almeida,Bruno Armirail,Mathieu Van Der Poel,Matteo Jorgenson,Arnaud De Lie,Biniam Girmay,Michael Storer,Wout Van Aert,Oscar Onley,Matteo Jorgenson,Florian Lipowitz,Axel Laurance,,,,,,
Tudor Pro Cycling Team,Tudor Pro Cycling Team,Intermarché - Wanty,UAE Team Emirates - XRG,Decathlon AG2R La Mondiale Team,Alpecin - Deceuninck,Team Visma | Lease a Bike,Lotto,Intermarché - Wanty,Tudor Pro Cycling Team,Team Visma | Lease a Bike,Team Picnic PostNL,Team Visma | Lease a Bike,Red Bull - BORA - hansgrohe,INEOS Grenadiers,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
129 points,115 points,120 points,124 points,122 points,148 points,136 points,110 points,122 points,135 points,123 points,134 points,120 points,134 points,114 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Clément Russo,Oscar Onley,Pavel Bittner,Romain Grégoire,Florian Lipowitz,Simon Yates,Remco Evenepoel,Tobias Lund Andresen,Paul Penhoët,Anders Halland Johannessen,Fred Wright,Kévin Vauquelin,Luke Plapp,Oscar Onley,Aleksandr Vlasov,,,,,,
Groupama - FDJ,Team Picnic PostNL,Team Picnic PostNL,Groupama - FDJ,Red Bull - BORA - hansgrohe,Team Visma | Lease a Bike,Soudal Quick-Step,Team Picnic PostNL,Groupama - FDJ,Uno-X Mobility,Bahrain - Victorious,Arkéa - B&B Hotels,Team Jayco AlUla,Team Picnic PostNL,Red Bull - BORA - hansgrohe,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
121 points,104 points,117 points,110 points,95 points,130 points,117 points,100 points,95 points,134 points,111 points,121 points,111 points,111 points,95 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Paul Penhoët,Aurélien Paret-Peintre,Kaden Groves,Matteo Jorgenson,Iván Romeo,Will Barta,Kévin Vauquelin,Bryan Coquard,Phil Bauhaus,Joseph Blackmore,Axel Laurance,Remco Evenepoel,Oscar Onley,Ben Healy,Jasper Stuyven,,,,,,
Groupama - FDJ,Decathlon AG2R La Mondiale Team,Alpecin - Deceuninck,Team Visma | Lease a Bike,Movistar Team,Movistar Team,Arkéa - B&B Hotels,Cofidis,Bahrain - Victorious,Israel - Premier Tech,INEOS Grenadiers,Soudal Quick-Step,Team Picnic PostNL,EF Education - EasyPost,Lidl - Trek,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
93 points,100 points,80 points,107 points,94 points,115 points,102 points,80 points,80 points,112 points,106 points,94 points,80 points,99 points,90 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
